label,Year,Month,include,freq,fixfreq,freqerr,Amp noise level,amp,fixamp,amperr,phase,brute,fixphase,phaseerr,Multiplet Freq,Multiplet Difference,Combination Difference,Combination Sum,Periods
f0628,1989,10,TRUE,1073.574337,FALSE,0.046486628,1.792425168,2.326151442,FALSE,0.224111686,0.68781566,FALSE,FALSE,0.015953675,,,,,
f2402,1991,10,TRUE,1075.568804,FALSE,0.11204347,2.956300422,12.20813139,FALSE,0.385040724,0.110201393,FALSE,FALSE,0.004958273,,,,,
f2504,1991,11,TRUE,1081.079693,FALSE,0.037714863,2.161875091,8.056880898,FALSE,0.257833586,0.168967351,FALSE,FALSE,0.005092252,,,,,
f1104,1990,8,TRUE,1085.472615,FALSE,0.047335297,2.452934811,6.542472773,FALSE,0.391268568,0.082654596,FALSE,FALSE,0.009535915,,,,,
f4107,2003,0,TRUE,1087.061487,FALSE,0.014311533,2.283799702,9.866626072,FALSE,0.327817566,0.953409085,FALSE,FALSE,0.005311049,,,,,
f6019,1988,11,,1092.366,,,0,5.9,,,,,,,,,,,915.444
f7001,2008,9,TRUE,1092.398131,,0.03134891,0,4.18506472,,,,,,,"f7002, f7003","4.43899459999988, 5.179563129999906",,,915.4171651
f7003,2008,9,TRUE,1097.577694,,0.08516339,0,7.13709051,,,,,,,"f7001, f7002","5.1795631299999, 0.7405685300000187",,,911.0972331
f1112,1988,10,,1097.9369,,0.232,0,1.2862,,,,,,,f1113,3.6016,,,910.7991543
f0501,1989,11,TRUE,1099.938582,FALSE,0.029568638,3.381870344,9.53679022,FALSE,0.378383902,0.743960138,FALSE,FALSE,0.006147267,,,,,
f1016,1988,12,,1100.5109,,0.0075,0,4.0261,,,,,,,,,,,908.6688737
f1113,1988,10,,1101.5385,,0.1793,0,1.733,,,,,,,f1112,3.6016,,,907.8211974
f9113,2021,8,TRUE,1106.831729,FALSE,0.014219111,0.9027398,1.433941813,FALSE,0.087113707,0.929096896,FALSE,FALSE,0.009670296,,,,,
f7004,2008,9,TRUE,1110.294873,,0.49473424,0,6.33827692,,,,,,,"f7005, f7006, f7007, f7008","0.888374139999996, 2.3363986399999703, 2.65824403999999, 4.99372587000016",,,900.6616391
f7005,2008,9,TRUE,1111.183247,,0.96311581,0,9.81759654,,,,,,,"f7004, f7006, f7007, f7008","0.888374139999996, 1.448024499999974, 1.7698699000000033, 4.105351730000166",,,899.9415737
f9201,2022,9,TRUE,1111.923681,FALSE,0.001125005,0.664442269,11.70811902,FALSE,0.069257481,0.697227132,FALSE,FALSE,0.000941241,,,,,
f8119,2013,0,,1112.5193,,0.0163,0,6.3681,,0.23925,,,,,"f8135, f8150","2.55190000000015, 9.514200000000073",,,898.8608108
f7006,2008,9,TRUE,1112.631271,,0.58906229,0,14.54113482,,,,,,,"f7004, f7005, f7007, f7008","2.33639863999997, 1.448024499999974, 0.32184540000002926, 2.6573272300001918",,,898.7703524
f9001,2018,0,,1112.656,,0.005,0,29.3,,0.5,,,,,,,,,
f7007,2008,9,TRUE,1112.953117,,0.0145455,0,9.65984046,,,,,,,"f7004, f7005, f7006, f7008","2.65824403999999, 1.7698699000000033, 0.32184540000002926, 2.3354818300001625",,,898.5104447
f9013,2020,0,,1114.6,,0.01,0,9.1,,0.3,,,,,,,,,
f8135,2013,0,,1115.0712,,0.0223,0,4.194,,0.23234,,,,,"f8119, f8150, f8190","2.55190000000015, 6.962299999999914, 7.77800000000002",,,896.8037198
f7008,2008,9,TRUE,1115.288599,,0.63849643,0,6.78427127,,,,,,,"f7004, f7005, f7006, f7007","4.99372587000016, 4.105351730000166, 2.6573272300001918, 2.3354818300001625",,,896.6289095
f6057,1993,9,,1118.52,,,0,14,,,,,,,,,,,894.039
f1017,1988,12,,1119.946,,0.009,0,2.222,,,,,,,,,,,892.9001934
f0612,1989,10,TRUE,1121.212658,FALSE,0.038055037,1.792425168,2.818090024,FALSE,0.225450022,0.693451776,FALSE,FALSE,0.01313466,,,,,
f0400,1989,12,TRUE,1121.392094,FALSE,0.021302903,2.763154899,14.68543162,FALSE,0.360532421,0.347799899,FALSE,FALSE,0.003881665,,,,,
f8150,2013,0,,1122.0335,,0.0346,0,2.8588,,0.26239,,,,,"f8119, f8135, f8190","9.51420000000007, 6.962299999999914, 0.8157000000001062",,,891.2389871
f8190,2013,0,,1122.8492,,0.0313,0,3.3689,,0.34805,,,,,"f8135, f8150","7.77800000000002, 0.8157000000001062",,,890.5915416
f7009,2008,9,TRUE,1125.894345,,0.52358357,0,5.06521854,,,,,,,f7010,1.66192006,,,888.1828072
f7010,2008,9,TRUE,1127.556265,,0.56849031,0,8.33287388,,,,,,,f7009,1.66192006,,,886.8737028
f8124,2013,0,,1134.4346,,0.0139,0,8.5746,,0.32705,,,,,,,,,881.496386
f3311,1993,11,TRUE,1137.831349,FALSE,0.122579898,3.717362656,8.366099955,FALSE,0.502604303,0.051755392,FALSE,FALSE,0.009304589,,,,,
